id,date,product,category,quantity,price,cost,sales,profit
112163,2021-01-13 00:00:00,4009 Highlighters by Sanford,Office Supplies,5,19.9,13.332999999999998,99.5,86.167
112164,2021-01-13 00:00:00,Avery Metallic Poly Binders,Office Supplies,2,3.438,5.9592,6.876,0.9168000000000003
112165,2021-01-13 00:00:00,3-ring staple pack,Office Supplies,3,5.64,2.9328,16.919999999999998,13.987199999999998
112166,2021-01-13 00:00:00,Brown Kraft Recycled Envelopes,Office Supplies,3,50.94,25.47,152.82,127.35
112167,2021-01-13 00:00:00,Staple envelope,Office Supplies,2,11.36,6.0207999999999995,22.72,16.699199999999998
112168,2021-01-13 00:00:00,Xerox 1923,Office Supplies,7,37.408,24.3152,261.856,237.5408
112169,2021-01-13 00:00:00,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,6,572.58,538.2252000000001,3435.4800000000005,2897.2548000000006
112170,2021-01-13 00:00:00,Tennsco 6- and 18-Compartment Lockers,Office Supplies,5,1325.85,1087.197,6629.25,5542.053
112171,2021-01-13 00:00:00,Plantronics S12 Corded Telephone Headset System,Technology,6,646.74,388.044,3880.44,3492.396
112172,2021-01-14 00:00:00,Sauder Cornerstone Collection Library,Furniture,4,61.96,115.2456,247.84,132.5944
112173,2021-01-15 00:00:00,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,5,149.95,83.972,749.75,665.778
112174,2021-01-16 00:00:00,DAX Black Cherry Wood-Tone Poster Frame,Furniture,6,127.104,98.5056,762.624,664.1184000000001
112175,2021-01-16 00:00:00,GBC Linen Binding Covers,Office Supplies,2,18.588,32.2192,37.176,4.956800000000001
112176,2021-01-16 00:00:00,Round Specialty Laser Printer Labels,Office Supplies,3,30.072,19.9227,90.216,70.29329999999999
112177,2021-01-16 00:00:00,AT&T 841000 Phone,Technology,3,124.2,155.25,372.6,217.35000000000002
112178,2021-01-18 00:00:00,Fellowes Mighty 8 Compact Surge Protector,Office Supplies,4,64.864,58.3776,259.456,201.07840000000002
112179,2021-01-19 00:00:00,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,5,181.47,502.067,907.35,405.283
112180,2021-01-19 00:00:00,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,10,32.34,56.056000000000004,323.40000000000003,267.34400000000005
112181,2021-01-19 00:00:00,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,5,108.72,72.027,543.6,471.57300000000004
112182,2021-01-19 00:00:00,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Office Supplies,4,56.064,36.4416,224.256,187.8144
112183,2021-01-20 00:00:00,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,3,1067.94,843.6726000000001,3203.82,2360.1474
112184,2021-01-20 00:00:00,Ultra Door Push Plate,Furniture,3,14.73,9.8691,44.19,34.320899999999995
112185,2021-01-20 00:00:00,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,3,272.94,242.9166,818.8199999999999,575.9033999999999
112186,2021-01-20 00:00:00,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,4,38.6,27.020000000000003,154.4,127.38
112187,2021-01-20 00:00:00,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,2,19.3,13.510000000000002,38.6,25.09
112188,2021-01-20 00:00:00,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,4,247.716,154.13440000000003,990.864,836.7296
112189,2021-01-20 00:00:00,Newell 351,Office Supplies,7,22.96,16.3016,160.72,144.4184
112190,2021-01-20 00:00:00,Newell 327,Office Supplies,3,6.63,4.8399,19.89,15.0501
112191,2021-01-20 00:00:00,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Office Supplies,3,43.92,31.1832,131.76,100.57679999999999
112192,2021-01-20 00:00:00,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,5,19.05,10.0965,95.25,85.1535
112193,2021-01-20 00:00:00,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,1,67.194,118.7094,67.194,-51.5154
112194,2021-01-20 00:00:00,Storex Dura Pro Binders,Office Supplies,5,29.7,16.335,148.5,132.165
112195,2021-01-20 00:00:00,Staple envelope,Office Supplies,3,23.34,12.3702,70.02,57.6498
112196,2021-01-20 00:00:00,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,2,19.36,10.0672,38.72,28.6528
112197,2021-01-20 00:00:00,Eldon Fold 'N Roll Cart System,Office Supplies,1,13.98,9.9258,13.98,4.0542
112198,2021-01-20 00:00:00,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,2,66.58,50.6008,133.16,82.5592
112199,2021-01-20 00:00:00,Apple iPhone 5C,Technology,7,699.93,517.9481999999999,4899.509999999999,4381.5617999999995
112200,2021-01-21 00:00:00,Ultra Door Pull Handle,Furniture,3,25.248,21.145200000000003,75.744,54.5988
112201,2021-01-21 00:00:00,"Eldon Imàge Series Desk Accessories, Clear",Furniture,5,24.3,13.850000000000001,121.5,107.65
112202,2021-01-21 00:00:00,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Furniture,1,9.48,5.69,9.48,3.79
112203,2021-01-21 00:00:00,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,5,31.4,18.21,157.0,138.79
112204,2021-01-21 00:00:00,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),Office Supplies,1,6.48,3.3700000000000006,6.48,3.11
112205,2021-01-21 00:00:00,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",Technology,10,209.5,150.84,2095.0,1944.16
112206,2021-01-23 00:00:00,"Alliance Big Bands Rubber Bands, 12/Pack",Office Supplies,3,5.94,5.94,17.82,11.879999999999999
112207,2021-01-23 00:00:00,Xerox 195,Office Supplies,6,40.08,20.8416,240.48,219.6384
112208,2021-01-26 00:00:00,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,2,141.96,102.2112,283.92,181.7088
112209,2021-01-26 00:00:00,Eldon Image Series Black Desk Accessories,Furniture,3,12.42,7.9488,37.26,29.3112
112210,2021-01-26 00:00:00,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Furniture,3,62.82,32.0382,188.46,156.42180000000002
112211,2021-01-26 00:00:00,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Office Supplies,2,10.68,5.6604,21.36,15.6996
112212,2021-01-26 00:00:00,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Office Supplies,2,16.68,8.34,33.36,25.02
112213,2021-01-26 00:00:00,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Office Supplies,3,19.44,10.1088,58.32000000000001,48.211200000000005
112214,2021-01-26 00:00:00,"SAFCO Commercial Wire Shelving, 72h",Office Supplies,8,489.92,489.92,3919.36,3429.44
112215,2021-01-26 00:00:00,Jabra SPEAK 410,Technology,2,187.98,135.3456,375.96,240.6144
112216,2021-01-26 00:00:00,Macally Suction Cup Mount,Technology,13,155.35,155.35,2019.55,1864.2
112217,2021-01-27 00:00:00,Balt Split Level Computer Training Table,Furniture,3,333.0,349.65,999.0,649.35
112218,2021-01-27 00:00:00,Dixon Ticonderoga Core-Lock Colored Pencils,Office Supplies,4,36.44,24.4148,145.76,121.34519999999999
112219,2021-01-27 00:00:00,Recycled Steel Personal File for Hanging File Folders,Office Supplies,1,57.23,42.9225,57.23,14.307499999999997
112220,2021-01-28 00:00:00,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,1,3.928,2.6022999999999996,3.928,1.3257000000000003
112221,2021-01-30 00:00:00,Xerox 1972,Office Supplies,2,10.56,5.808000000000001,21.12,15.312000000000001
112222,2021-01-30 00:00:00,Space Solutions HD Industrial Steel Shelving.,Office Supplies,2,229.94,223.0418,459.88,236.8382
112223,2021-01-31 00:00:00,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,2,290.666,287.2464,581.332,294.0856
112224,2021-02-01 00:00:00,Enermax Aurora Lite Keyboard,Technology,6,468.9,262.58399999999995,2813.3999999999996,2550.816
112225,2021-02-02 00:00:00,Surelock Post Binders,Office Supplies,2,18.336,30.56,36.672,6.111999999999998
112226,2021-02-02 00:00:00,Staples,Office Supplies,5,12.35,6.5455,61.75,55.2045
112227,2021-02-02 00:00:00,AT&T 17929 Lendline Telephone,Technology,5,180.96,167.388,904.8000000000001,737.412
112228,2021-02-03 00:00:00,Avery Durable Poly Binders,Office Supplies,3,13.272,8.9586,39.816,30.857400000000002
112229,2021-02-03 00:00:00,Ibico Laser Imprintable Binding System Covers,Office Supplies,2,83.84,56.592,167.68,111.08800000000001
112230,2021-02-04 00:00:00,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,2,17.248,11.211200000000002,34.496,23.2848
112231,2021-02-04 00:00:00,GBC Recycled Grain Textured Covers,Office Supplies,3,82.896,53.882400000000004,248.688,194.80559999999997
112232,2021-02-04 00:00:00,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",Office Supplies,4,34.24,18.1472,136.96,118.81280000000001
112233,2021-02-06 00:00:00,"Avery Flip-Chart Easel Binder, Black",Office Supplies,2,8.952,23.7228,17.904,-5.8187999999999995
112234,2021-02-06 00:00:00,Avery 480,Office Supplies,4,15.0,7.8,60.0,52.2
112235,2021-02-06 00:00:00,AT&T CL82213,Technology,5,144.95,102.91449999999999,724.75,621.8355
112236,2021-02-06 00:00:00,Aastra 57i VoIP phone,Technology,1,161.61,119.59140000000002,161.61,42.01859999999999
112237,2021-02-07 00:00:00,Acco Perma 4000 Stacking Storage Drawers,Office Supplies,4,64.96,55.215999999999994,259.84,204.62399999999997
112238,2021-02-07 00:00:00,Maxell DVD-RAM Discs,Technology,7,115.36,65.7552,807.52,741.7647999999999
112239,2021-02-08 00:00:00,"Master Caster Door Stop, Large Brown",Furniture,2,14.56,9.0272,29.12,20.0928
112240,2021-02-11 00:00:00,"Global Value Mid-Back Manager's Chair, Gray",Furniture,1,60.89,45.667500000000004,60.89,15.222499999999997
112241,2021-02-11 00:00:00,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Furniture,3,332.94,279.6696,998.8199999999999,719.1504
112242,2021-02-11 00:00:00,Hon 2111 Invitation Series Corner Table,Furniture,6,1256.22,1180.8468,7537.32,6356.473199999999
112243,2021-02-11 00:00:00,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,2,17.46,9.2538,34.92,25.666200000000003
112244,2021-02-11 00:00:00,VariCap6 Expandable Binder,Office Supplies,3,51.9,27.506999999999998,155.7,128.19299999999998
112245,2021-02-11 00:00:00,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Office Supplies,2,9.64,5.2056000000000004,19.28,14.0744
112246,2021-02-11 00:00:00,Avery 483,Office Supplies,3,14.94,8.067599999999999,44.82,36.7524
112247,2021-02-11 00:00:00,Fellowes Neat Ideas Storage Cubes,Office Supplies,2,64.96,62.361599999999996,129.92,67.55839999999999
112248,2021-02-11 00:00:00,Enermax Aurora Lite Keyboard,Technology,3,234.45,131.29199999999997,703.3499999999999,572.058
112249,2021-02-12 00:00:00,"Global Geo Office Task Chair, Gray",Furniture,2,129.568,153.86200000000002,259.136,105.274
112250,2021-02-14 00:00:00,Belkin 8 Outlet Surge Protector,Office Supplies,2,81.96,59.011199999999995,163.92,104.90879999999999
112251,2021-02-14 00:00:00,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Office Supplies,3,16.176,10.11,48.52799999999999,38.41799999999999
112252,2021-02-14 00:00:00,Compact Automatic Electric Letter Opener,Office Supplies,2,238.62,233.8476,477.24,243.3924
112253,2021-02-14 00:00:00,Logitech G600 MMO Gaming Mouse,Technology,3,239.97,153.5808,719.91,566.3291999999999
112254,2021-02-15 00:00:00,Pressboard Data Binders by Wilson Jones,Office Supplies,5,21.36,14.151,106.8,92.649
112255,2021-02-16 00:00:00,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Office Supplies,2,7.96,21.89,15.92,-5.970000000000001
112256,2021-02-16 00:00:00,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,3,1.08,2.808,3.24,0.4320000000000004
112257,2021-02-17 00:00:00,Staples in misc. colors,Office Supplies,14,54.208,45.3992,758.912,713.5128000000001
112258,2021-02-18 00:00:00,"DAX Copper Panel Document Frame, 5 x 7 Size",Furniture,5,25.16,36.482,125.8,89.318
112259,2021-02-18 00:00:00,Akro Stacking Bins,Office Supplies,2,12.624,15.148800000000001,25.248,10.0992
112260,2021-02-20 00:00:00,"Master Caster Door Stop, Brown",Furniture,4,20.32,13.411200000000001,81.28,67.8688
112261,2021-02-20 00:00:00,Xerox 204,Office Supplies,2,12.96,6.739200000000001,25.92,19.1808
112262,2021-02-20 00:00:00,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Technology,3,62.31,39.8784,186.93,147.0516
112263,2021-02-21 00:00:00,GBC Standard Plastic Binding Systems Combs,Office Supplies,5,8.85,22.5675,44.25,21.6825
112264,2021-02-22 00:00:00,Xerox 220,Office Supplies,3,19.44,10.1088,58.32000000000001,48.211200000000005
112265,2021-02-23 00:00:00,GBC Plastic Binding Combs,Office Supplies,3,4.428,11.2914,13.283999999999999,1.9925999999999995
112266,2021-02-23 00:00:00,Staple-on labels,Office Supplies,3,6.936,4.5951,20.808,16.212899999999998
112267,2021-02-24 00:00:00,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",Office Supplies,3,22.776,15.0891,68.328,53.2389
112268,2021-02-24 00:00:00,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,4,32.896,21.7936,131.584,109.7904
112269,2021-02-27 00:00:00,Zebra Zazzle Fluorescent Highlighters,Office Supplies,4,19.456,16.0512,77.824,61.7728
112270,2021-03-01 00:00:00,Novimex Swivel Fabric Task Chair,Furniture,6,634.116,806.2332,3804.696,2998.4628
112271,2021-03-01 00:00:00,Harbour Creations Steel Folding Chair,Furniture,6,362.25,362.25,2173.5,1811.25
112272,2021-03-01 00:00:00,Global Deluxe High-Back Manager's Chair,Furniture,2,457.568,406.09159999999997,915.136,509.0444
112273,2021-03-01 00:00:00,DAX Black Cherry Wood-Tone Poster Frame,Furniture,6,63.552,98.5056,381.312,282.8064
112274,2021-03-01 00:00:00,Bevis Round Conference Room Tables and Bases,Furniture,3,376.509,419.53860000000003,1129.527,709.9884
112275,2021-03-01 00:00:00,Plymouth Boxed Rubber Bands by Plymouth,Office Supplies,5,18.84,22.3725,94.2,71.8275
112276,2021-03-01 00:00:00,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Office Supplies,3,17.472,11.793600000000001,52.416000000000004,40.6224
112277,2021-03-01 00:00:00,Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,3,129.552,152.2236,388.65599999999995,236.43239999999994
112278,2021-03-01 00:00:00,Recycled Steel Personal File for Hanging File Folders,Office Supplies,3,137.352,128.7675,412.05600000000004,283.2885
112279,2021-03-01 00:00:00,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,Technology,3,5.94,4.336200000000001,17.82,13.483799999999999
112280,2021-03-02 00:00:00,Staple envelope,Office Supplies,2,11.36,6.0207999999999995,22.72,16.699199999999998
112281,2021-03-02 00:00:00,Xerox 1971,Office Supplies,1,3.424,2.354,3.424,1.0699999999999998
112282,2021-03-02 00:00:00,"Array Parchment Paper, Assorted Colors",Office Supplies,5,36.4,18.927999999999997,182.0,163.072
112283,2021-03-02 00:00:00,Hypercom P1300 Pinpad,Technology,3,151.2,119.07,453.59999999999997,334.53
112284,2021-03-03 00:00:00,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,5,302.45,502.067,1512.25,1010.183
112285,2021-03-03 00:00:00,"Bevis Oval Conference Table, Walnut",Furniture,3,626.352,649.8402,1879.056,1229.2158
112286,2021-03-03 00:00:00,3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,3,176.772,636.3792,530.316,-106.06319999999994
112287,2021-03-03 00:00:00,Zebra Zazzle Fluorescent Highlighters,Office Supplies,4,19.456,16.0512,77.824,61.7728
112288,2021-03-03 00:00:00,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Office Supplies,5,25.32,16.1415,126.6,110.45849999999999
112289,2021-03-03 00:00:00,Ibico Laser Imprintable Binding System Covers,Office Supplies,3,125.76,84.888,377.28000000000003,292.39200000000005
112290,2021-03-03 00:00:00,Avery 495,Office Supplies,3,15.12,10.206,45.36,35.153999999999996
112291,2021-03-03 00:00:00,Eldon Shelf Savers Cubes and Bins,Office Supplies,8,44.672,54.7232,357.376,302.65279999999996
112292,2021-03-03 00:00:00,PowerGen Dual USB Car Charger,Technology,1,9.99,5.3946000000000005,9.99,4.5954
112293,2021-03-04 00:00:00,"BIC Brite Liner Highlighters, Chisel Tip",Office Supplies,3,15.552,13.219199999999999,46.656,33.4368
112294,2021-03-04 00:00:00,Sensible Storage WireTech Storage Systems,Office Supplies,5,354.9,337.155,1774.5,1437.345
112295,2021-03-05 00:00:00,Newell 345,Office Supplies,3,59.52,44.0448,178.56,134.5152
112296,2021-03-05 00:00:00,GBC Wire Binding Combs,Office Supplies,6,49.632,32.88119999999999,297.792,264.9108
112297,2021-03-05 00:00:00,Xerox 1891,Office Supplies,2,97.82,51.84459999999999,195.64,143.7954
112298,2021-03-05 00:00:00,Acme Forged Steel Scissors with Black Enamel Handles,Office Supplies,2,18.62,13.220200000000002,37.24,24.0198
112299,2021-03-05 00:00:00,Logitech Wireless Gaming Headset G930,Technology,3,479.97,302.38110000000006,1439.91,1137.5289
112300,2021-03-07 00:00:00,Office Star - Task Chair with Contemporary Loop Arms,Furniture,6,436.704,414.8688,2620.224,2205.3552
112301,2021-03-07 00:00:00,"Global Push Button Manager's Chair, Indigo",Furniture,1,48.712,43.2319,48.712,5.4801
112302,2021-03-07 00:00:00,"Global Leather and Oak Executive Chair, Black",Furniture,2,481.568,427.3916,963.136,535.7444
112303,2021-03-07 00:00:00,Newell Chalk Holder,Office Supplies,5,20.65,11.150999999999998,103.25,92.099
112304,2021-03-07 00:00:00,Newell 330,Office Supplies,3,17.94,13.2756,53.82000000000001,40.54440000000001
112305,2021-03-07 00:00:00,Catalog Binders with Expanding Posts,Office Supplies,2,107.648,74.008,215.296,141.288
112306,2021-03-07 00:00:00,"Contico 72""H Heavy-Duty Storage System",Office Supplies,5,204.9,204.9,1024.5,819.6
112307,2021-03-07 00:00:00,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,3,242.94,238.0812,728.8199999999999,490.73879999999997
112308,2021-03-10 00:00:00,"BOSTON Ranger #55 Pencil Sharpener, Black",Office Supplies,4,83.168,73.8116,332.672,258.8604
112309,2021-03-10 00:00:00,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",Office Supplies,2,22.38,11.637599999999999,44.76,33.1224
112310,2021-03-10 00:00:00,Tennsco 6- and 18-Compartment Lockers,Office Supplies,3,636.408,652.3182,1909.2240000000002,1256.9058
112311,2021-03-11 00:00:00,Eldon Wave Desk Accessories,Furniture,5,8.32,6.032,41.6,35.568
112312,2021-03-11 00:00:00,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Office Supplies,3,146.76,108.60239999999999,440.28,331.6776
112313,2021-03-11 00:00:00,Economy #2 Pencils,Office Supplies,3,7.98,5.905200000000001,23.94,18.0348
112314,2021-03-11 00:00:00,Stockwell Push Pins,Office Supplies,6,10.464,8.7636,62.784000000000006,54.02040000000001
112315,2021-03-11 00:00:00,Xerox 198,Office Supplies,3,14.94,7.9182,44.82,36.9018
112316,2021-03-11 00:00:00,"Southworth 100% Résumé Paper, 24lb.",Office Supplies,14,108.92,59.906,1524.88,1464.9740000000002
112317,2021-03-11 00:00:00,Maxell DVD-RAM Discs,Technology,2,32.96,18.7872,65.92,47.1328
112318,2021-03-11 00:00:00,Panasonic KX-TG9471B,Technology,3,587.97,423.33840000000004,1763.91,1340.5716
112319,2021-03-13 00:00:00,Global Deluxe High-Back Manager's Chair,Furniture,4,915.14,812.1899999999999,3660.56,2848.37
112320,2021-03-13 00:00:00,Dana Halogen Swing-Arm Architect Lamp,Furniture,8,327.76,235.99,2622.08,2386.09
112321,2021-03-14 00:00:00,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,4,1139.92,854.94,4559.68,3704.7400000000002
112322,2021-03-14 00:00:00,Avery Hi-Liter Fluorescent Desk Style Markers,Office Supplies,1,3.38,2.1294,3.38,1.2506
112323,2021-03-14 00:00:00,GBC Wire Binding Combs,Office Supplies,4,33.088,21.9208,132.352,110.4312
112324,2021-03-14 00:00:00,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",Office Supplies,2,62.048,41.882400000000004,124.096,82.2136
112325,2021-03-14 00:00:00,Xerox 1887,Office Supplies,6,91.056,59.1864,546.336,487.1496
112326,2021-03-14 00:00:00,Xerox 1972,Office Supplies,2,10.56,5.808000000000001,21.12,15.312000000000001
112327,2021-03-14 00:00:00,Xerox 1963,Office Supplies,2,8.448,5.808,16.896,11.088000000000001
112328,2021-03-14 00:00:00,Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,1,80.98,77.74080000000001,80.98,3.2391999999999967
112329,2021-03-14 00:00:00,Staple magnet,Office Supplies,2,21.36,15.5928,42.72,27.1272
112330,2021-03-14 00:00:00,Imation 30456 USB Flash Drive 8GB,Technology,12,82.8,76.176,993.5999999999999,917.4239999999999
112331,2021-03-14 00:00:00,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,Technology,2,574.91,418.86299999999994,1149.82,730.957
112332,2021-03-15 00:00:00,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,3,45.696,40.5552,137.088,96.5328
112333,2021-03-15 00:00:00,Insertable Tab Post Binder Dividers,Office Supplies,3,7.218,12.7518,21.654,8.9022
112334,2021-03-15 00:00:00,GBC VeloBinder Manual Binding System,Office Supplies,4,43.188,74.8592,172.752,97.89280000000001
112335,2021-03-15 00:00:00,Xerox 1889,Office Supplies,3,131.904,84.08879999999999,395.712,311.6232
112336,2021-03-15 00:00:00,"Hot File 7-Pocket, Floor Stand",Office Supplies,1,142.776,124.929,142.776,17.84700000000001
112337,2021-03-16 00:00:00,Polycom VoiceStation 500 Conference phone,Technology,2,471.92,442.425,943.84,501.415
112338,2021-03-17 00:00:00,Balt Solid Wood Round Tables,Furniture,4,1071.576,1625.2236,4286.304,2661.0804
112339,2021-03-17 00:00:00,Bretford Rectangular Conference Table Tops,Furniture,7,1579.746,2027.3407000000002,11058.222000000002,9030.881300000001
112340,2021-03-17 00:00:00,"Hon 30"" x 60"" Table with Locking Drawer",Furniture,3,613.908,736.6896,1841.7240000000002,1105.0344
112341,2021-03-17 00:00:00,Bionaire Personal Warm Mist Humidifier/Vaporizer,Office Supplies,2,93.78,57.2058,187.56,130.3542
112342,2021-03-17 00:00:00,Belkin 6 Outlet Metallic Surge Strip,Office Supplies,3,32.67,24.175800000000002,98.01,73.83420000000001
112343,2021-03-17 00:00:00,Newell 333,Office Supplies,2,4.448,4.114400000000001,8.896,4.7816
112344,2021-03-17 00:00:00,Newell 35,Office Supplies,6,19.68,13.9728,118.08,104.1072
112345,2021-03-17 00:00:00,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Office Supplies,6,35.88,18.657600000000002,215.28000000000003,196.62240000000003
112346,2021-03-17 00:00:00,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,2,30.44,15.524400000000002,60.88,45.3556
112347,2021-03-17 00:00:00,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,3,11.43,6.0579,34.29,28.2321
112348,2021-03-17 00:00:00,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Office Supplies,10,53.4,28.302,534.0,505.698
112349,2021-03-17 00:00:00,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Office Supplies,7,47.18,23.59,330.26,306.67
112350,2021-03-17 00:00:00,Xerox 1918,Office Supplies,4,155.04,79.07039999999999,620.16,541.0896
